"category";"key";"value"
"Americas";"United States";33
"Europe";"France";24.70
"Europe";"Italy";24.50
"Europe";"Germany";19.80
"Europe";"United Kingdom";13
"Asia";"China";12,40
"Europe";"Russia";10.30
"Europe";"Spain";9,60
"Americas";"Argentina";9.40
"Oceania";"Australia";5.70
"Europe";Portugal";4.60
"Americas";"Canada";4.40
"Americas";"Brazil";4.30
"Europe";"Romania";3,80
"Europe";"Netherlands";3.50
"Asia";"Japan";3.50
"Africa";"South Africa";3.10
"Europe";"Switzerland";2.6
"Europe";"Belgium";2.6
"Europe";"Austria";2.3
"Europe";"Sweden";2.2
"Europe";"Czech Republic";2.1
"Other countries";"Rest of the world";32.2
