"acronym","latitude","longitude","State","Jobs"
FL,27.664827,-81.515754,Florida,55976
TX,31.968599,-99.901813,Texas,31639
NY,43.299428,-74.217933,New York,30858
IL,40.633125,-89.398528,Illinois,22102
OH,40.417287,-82.907123,Ohio,21145
MA,42.407211,-71.382437,Massachusetts,18636
PA,41.203322,-77.194525,Pennsylvania,16809
MI,44.314844,-85.602364,Michigan,15088
WI,43.78444,-88.787868,Wisconsin,14822
NC,35.759573,-79.0193,North Carolina,14745
VA,37.431573,-78.656894,Virginia,13794
NJ,40.058324,-74.405661,New Jersey,13655
AZ,34.048928,-111.093731,Arizona,13514,
WA,47.751074,-120.740139,Washington,13125
CO,39.550051,-105.782067,Colorado,12596
MO,37.964253,-91.831833,Missouri,10002
OR,43.804133,-120.554201,Oregon,9751
MN,46.729553,-94.6859,Minnesota,9657
NV,38.80261,-116.419389,Nevada,9429
MD,39.045755,-76.641271,Maryland,8147
IN,40.551217,-85.602364,Indiana,7474
CT,41.603221,-73.087749,Connecticut,7163
GA,32.157435,-82.907123,Georgia,6721
SC,33.836081,-81.163725,South Carolina,6721
LA,31.244823,-92.145024,Louisiana,6535
IA,41.878003,-93.097702,Iowa,5557
TN,35.517491,-86.580447,Tennessee,5055
AL,32.318231,-86.902298,Alabama,4077
HI,19.898682,-155.665857,Hawaii,3870
NE,41.492537,-99.901813,Nebraska,3361
ME,45.253783,-69.445469,Maine,3316
NM,34.97273,-105.032363,New Mexico,3233
OK,35.007752,-97.092877,Oklahoma,2780
ID,44.068202,-114.742041,Idaho,2634
KY,37.839333,-84.270018,Kentucky,2633
KS,39.011902,-98.484246,Kansas,2568
DC,38.905985,-77.033418,District of Columbia,2509
RI,41.580095,-71.477429,Rhode Island,2464
MT,46.879682,-110.362566,Montana,2406
NH,43.193852,-71.572395,New Hampshire,2217
UT,39.32098,-111.093731,Utah,2099
VT,44.558803,-72.577841,Vermont,1881
SD,43.969515,-99.901813,South Dakota,1689
DE,38.910832,-75.52767,Delaware,1262
AR,35.20105,-91.831833,Arkansas,1229
MS,32.354668,-89.398528,Mississippi,1166
WV,38.597626,-80.454903,West Virginia,1009
WY,43.075968,-107.290284,Wyoming,996
ND,47.551493,-101.002012,North Dakota,962
AK,63.588753,-154.493062,Alaska,913
