"year","Argentina production decreased: -5%","Australia production increased: +175%","Brazil production multiplied by 3","Chile production multiplied by 3","China production multiplied by 205","New Zealand production multiplied by 85 ","Russia production increased: +28% (since 1990)","South Africa production multiplied by 4","United States of America production increase: +82%"
1958, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000
1961,2174000,534975,450942,853000,71831,5330,0,516553,2952820
1962,2460000,637978,400601,972000,86200,6558,0,543864,2937915
1963,2678000,478990,506802,803000,87129,6920,0,626547,3440949
1964,2544000,665300,403069,852000,103559,8030,0,620763,3155186
1965,2342000,690531,550892,630000,103392,8674,0,807212,3947430
1966,2777000,591459,522640,836000,101784,9000,0,767760,3387706
1967,3624000,694748,500791,863000,94858,9980,0,803960,2777979
1968,2590000,638611,539036,943000,106801,12445,0,918835,3219596
1969,2354000,553411,483443,709000,101879,15396,0,922660,3535759
1970,2668000,757668,598016,668000,96156,16750,0,682783,2815279
1971,2886000,548000,502295,910000,124227,17750,0,835287,3623658
1972,2600000,826956,564200,1037000,123745,14136,0,821811,2339300
1973,2610000,603200,495384,953000,133066,25000,0,845888,3808659
1974,3528000,552200,563510,808000,122544,24000,0,739099,3809067
1975,3100000,727800,580586,767000,139475,24242,0,874159,3961111
1976,3760000,711900,628020,841000,132861,27008,0,890369,3990077
1977,3400000,728384,659690,940000,104724,30000,0,736412,3898850
1978,2800000,693600,666594,955000,121530,35000,0,907528,4142840
1979,3452505,716400,703814,1050000,169148,40000,0,971479,4525940
1980,3086772,865300,445961,1050000,159932,36917,0,1101580,5075760
1981,2929914,743400,663149,1100000,216818,39200,0,1031340,4044390
1982,3571000,884922,688928,1150000,240737,49350,0,1176090,5946690
1983,3504470,768067,577480,1000000,331416,67600,0,1244790,5009000
1984,2638509,840866,603172,900000,364798,48950,0,1225330,4725000
1985,2252870,889638,712182,1000000,446997,77880,0,1148690,5095000
1986,2563235,907847,587770,900000,510997,54610,0,1055490,4742400
1987,3693546,783000,554394,963000,707109,49000,0,1200800,4778100
1988,3191750,798814,758179,999100,880395,51000,0,1237350,5472200
1989,2970586,859165,691972,1037000,978629,58926,0,1264100,5380000
1990,2342350,824261,804774,1170800,961217,70171,0,1317920,5135600
1991,2081620,851141,648026,1186390,1029510,65708,0,1317770,5040200
1992,2126620,987142,800112,1140660,1254533,55500,529260,1407160,5490000
1993,1940981,791217,787363,1300220,1520041,42621,467480,1246000,5464000
1994,2497360,919608,807520,1448960,1681592,54000,310550,1285940,5328350
1995,2854814,768827,836545,1526160,1895760,74500,300560,1362820,5372600
1996,2039893,1086509,684902,1629905,2020557,75300,345999,1411310,5038750
1997,2481910,943113,890708,1669190,2113830,60000,279767,1438550,6592300
1998,2001673,1112170,774352,1642093,2431627,78300,192334,1333481,5279800
1999,2441660,1265536,931500,1575000,2814698,79700,248058,1555659,5657509
2000,2459860,1311382,1024482,1899943,3373216,80100,278769,1454729,6973801
2001,2481530,1546002,1058579,1800548,3765017,71000,232629,1327635,5959603
2002,2281190,1753888,1148648,1750000,4564472,118700,213606,1521703,6657777
2003,2339460,1496939,1067422,1985000,5268022,76400,341108,1663530,5887268
2004,2650972,2014965,1291382,1900000,5773184,165500,308705,1761922,5660833
2005,2829711,2026500,1232564,2250000,5865505,142000,321824,1682813,7088470
2006,2880927,1981198,1257064,2300000,6373091,185000,234105,1757355,5757267
2007,3092509,1530439,1371555,2350000,6529881,205000,315031,1812410,6402277
2008,2821696,1778510,1421431,2400000,7067056,285000,267880,1865282,6639960
2009,2181567,1856100,1365491,2600000,7746891,285000,298720,1748590,6629198
2010,2619661,1684345,1355461,2629024,8238131,266000,324290,1743496,6777731
2011,2890296,1757700,1495336,2644050,8684180,328000,412382,1680436,6756457
2012,2244220,1656621,1514768,2922684,10105167,269000,266877,1841385,6831902
2013,2871749,1762572,1439535,2955472,10981856,345000,439100,1979872,7830637
2014,2635109,1557362,1454183,2530462,11813199,445000,528549,1949264,7152090
2015,2415571,1728759,1497302,2842135,13249535,326000,475197,2007336,6964593
2016,1758418,1772911,1113345,2478780,12709080,436000,601333,1966291,6982630
2017,1965206,1824431,1743430,2383095,13175502,396000,580077,2032582,6698520
2018,2573311,1663557,1592031,2828021,13764599,415705,627739,1901736,6890980
2019,2519886,1553602,1485806,2701588,14284035,413000,677997,1883309,6314915
2020,2055746,1474911,1435596,2772561,14843091,457000,681908,2028185,5388679
